Name,Description,BranchType,DeliveryStatus,Circle,District,Division,Region,Block,State,Country,Pincode
Vembi,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605203
Kanai,,Sub Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605301
Kappur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605301
Kondangi,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605301
Konur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605301
Nanndu,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605301
Orukodi,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605301
Perumbakkam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605301
Kalpattu,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605302
Kangiyanur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605302
Mambazhapattu,,Sub Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605302
Teli,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605302
Athiyur Thiruvadi,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605401
Kandambakkam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605401
Kandnamanadi,,Sub Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605401
Maragadhapuram,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605401
Pidagam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Viluppuram,Tamil Nadu,India,605401
Salamedu,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605401
Valudareddy,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605401
Adanur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605402
Ariyalur Tirukkai,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605402
Kakkanur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605402
Kedar,,Sub Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605402
Palliandur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605402
Siruvalai,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605402
Thiruvamathr,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605402
Vengandur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupurm,Tamil Nadu,India,605402
Viramur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Villupuram,Tamil Nadu,India,605402
Kodukkur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Tindivanam,Tamil Nadu,India,605501
Korakeni,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Tindivanam,Tamil Nadu,India,605501
Madurapakkam,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Tindivanam,Tamil Nadu,India,605501
Mannadipattu,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605501
Mutrampattu,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Tindivanam,Tamil Nadu,India,605501
Radhhapuram,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Tindivanam,Tamil Nadu,India,605501
Sellipet,,Branch Post Office,Delivery,Tamilnadu,Pondicherry,Pondicherry,Chennai Region,Pondicherry,Pondicherry,India,605501
Seshangur,,Branch Post Office,Delivery,Tamilnadu,Villupuram,Pondicherry,Chennai Region,Tindivanam,Tamil Nadu,India,605501
