Name,Description,BranchType,DeliveryStatus,Circle,District,Division,Region,Block,State,Country,Pincode
Jalukie 'B',,Branch Post Office,Delivery,North Eastern,Peren,Nagaland,North Eastern,Zalukie,Nagaland,India,797110
Khelma,,Branch Post Office,Delivery,North Eastern,Peren,Nagaland,North Eastern,Zalukie,Nagaland,India,797110
Lilen,,Branch Post Office,Delivery,North Eastern,Peren,Nagaland,North Eastern,Zalukie,Nagaland,India,797110
Mhainamtsi,,Branch Post Office,Delivery,North Eastern,Peren,Nagaland,North Eastern,Zalukie,Nagaland,India,797110
New Jalukie,,Branch Post Office,Delivery,North Eastern,Peren,Nagaland,North Eastern,Zalukie,Nagaland,India,797110
Samjiuram,,Branch Post Office,Delivery,North Eastern,Peren,Nagaland,North Eastern,Zalukie,Nagaland,India,797110
Zalukie,,Sub Post Office,Delivery,North Eastern,Peren,Nagaland,North Eastern,Peren,Nagaland,India,797110
Baghty,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Doyang H Project,Nagaland,India,797111
Bhandari,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Doyang H. Project,Nagaland,India,797111
Chukitong,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Wokha,Nagaland,India,797111
Elumnyu,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Wokha,Nagaland,India,797111
Englan,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Doyang H Project,Nagaland,India,797111
Humtsu,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Wokha,Nagaland,India,797111
Mekhukla,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Wokha,Nagaland,India,797111
N. Longidong,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Wokha,Nagaland,India,797111
Nyiro,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Wokha,Nagaland,India,797111
Pongitong,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Wokha,Nagaland,India,797111
Tsungtsutong,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Wokha,Nagaland,India,797111
Wokha,,Sub Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Wokha,Nagaland,India,797111
Wokha Village,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Wokha,Nagaland,India,797111
Wozhru,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Wokha,Nagaland,India,797111
Yikhum,,Branch Post Office,Delivery,North Eastern,Wokha,Nagaland,North Eastern,Wokha,Nagaland,India,797111
Dimapur,,Sub Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur,Nagaland,India,797112
Doyapur,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Mdg,Nagaland,India,797112
Hening Kunglwa,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Mdg,Nagaland,India,797112
Jalukiekam,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Mdg,Nagaland,India,797112
Khermahal,,Branch Post Office,Non-Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Sadar,Nagaland,India,797112
Kuda,,Branch Post Office,Delivery,North Eastern,Dimapur,Nagaland,North Eastern,Dimapur Mdg,Nagaland,India,797112
