,Name,Description,BranchType,DeliveryStatus,Circle,District,Division,Region,Block,State,Country,Pincode
122,Airkata Bazar,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,South Salmara,Assam,India,783330
123,Barkaila Serso,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Salmara South,Assam,India,783330
124,Chirakuti Bazar,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Salmara South,Assam,India,783330
125,Dhumerghat,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Salmara South,Assam,India,783330
126,Fakirganj,,Sub Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Salmara South,Assam,India,783330
127,Hamidabad,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,South Salmara,Assam,India,783330
128,Jamadarhat,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,South Salmara,Assam,India,783330
129,Khalisabhita,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Salmara South,Assam,India,783330
130,Madartari,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Salmara South,Assam,India,783330
131,Simlabari,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Salmara South,Assam,India,783330
132,Asharikandi,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Rupsi,Assam,India,783331
133,Balajan,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Rupsi,Assam,India,783331
134,Banyaguri,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Rupsi,Assam,India,783331
135,Gauripur,,Sub Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Rupsi,Assam,India,783331
136,Khudimari,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Rupsi,Assam,India,783331
137,Madhusoulmari,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Rupsi,Assam,India,783331
138,Rupsi,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Rupsi,Assam,India,783331
139,Sahebganj Naicherkuti,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Rupsi,Assam,India,783331
140,Silairpar,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Rupsi,Assam,India,783331
141,South Geramari,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Rupshi,Assam,India,783331
142,Tiamari,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Rupshi,Assam,India,783331
143,Barjan,,Branch Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Hatidhura,Assam,India,783332
144,Kamandanga,,Branch Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Hatidhura,Assam,India,783332
145,Lalmati Tumbagan,,Branch Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Hatidhura,Assam,India,783332
146,Petlagaon,,Branch Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Hatidhura,Assam,India,783332
147,Srinagar,,Branch Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Hatidhura,Assam,India,783332
148,Tamarhat,,Sub Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Hatidhura,Assam,India,783332
149,Uzanpetla,,Branch Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Hatidhura,Assam,India,783332
150,Dingdinga,,Sub Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Hatidhura,Assam,India,783333
151,Failaguri,,Branch Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Gossaigaon,Assam,India,783333
152,Grahampur,,Branch Post Office,Delivery,Assam,Kokrajhar,Goalpara,Guwahati HQ,Hatidhura,Assam,India,783333
153,Baladoba,,Branch Post Office,Delivery,Assam,Dhubri,Goalpara,Guwahati HQ,Golakganj,Assam,India,783334
